drug,chirality,alogp,aromatic rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy atoms,acid,base,neutral,zwitterion,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,oral administration,parentreral,topical,prodrug
chembl238465,1,1.8,1,-0.54,1.7,0,9.68,244.12,3,3,1,1,15,0,1,0,0,244.12,243.033,0,0,28.16,0.76,1,1,0,0,0,0
chenodiol,1,4.48,0,0.98,3.71,4.6,0,392.58,3,4,3,3,28,1,0,0,0,392.58,392.2927,0,0,77.76,0.66,0,4,1,0,0,0
danazol,1,4.22,1,3.46,3.46,0,0.25,337.46,3,3,1,1,25,0,0,1,0,337.46,337.2042,0,0,46.26,0.72,0,0,1,0,0,0
chembl1480,0,3.96,1,3.44,3.44,0,0,384.26,5,5,1,1,25,0,0,1,0,384.26,383.0691,0,0,64.63,0.8,0,4,1,0,0,0
glimepiride,1,3.07,1,2.18,3.12,4.32,0,490.63,5,9,3,3,34,1,0,0,0,490.63,490.225,0,0,124.68,0.54,0,7,1,0,0,0
selexipag,2,3.9,3,2.82,3.76,3.77,1.41,496.63,7,8,1,1,35,1,0,0,0,496.63,496.2144,0,0,101.49,0.38,0,12,1,0,0,0
chembl1482,0,0.18,0,-4.14,-4.14,0,0,161.22,2,4,1,2,11,0,0,1,0,161.22,161.1285,0,0,52.32,0.6,1,3,1,1,0,0
albendazole,2,3.24,2,3.2,3.2,9.51,4.27,265.34,4,5,2,2,18,0,0,1,0,265.34,265.0885,0,0,67.01,0.83,0,4,1,0,0,1
atorvastatin calcium,1,6.31,4,2.43,5.39,4.31,0,1155.36,5,7,4,4,41,1,0,0,0,558.65,558.253,2,2,111.79,0.16,0,12,1,0,0,0
chembl1484,0,3.68,2,2.78,3.56,0,8.1,479.53,8,9,1,1,35,0,0,1,0,479.53,479.2056,0,0,111.01,0.33,0,9,1,1,0,0
losartan potassium tablet,2,4.27,4,2.82,4.06,4.26,3.82,422.92,6,7,2,2,30,1,0,0,0,422.92,422.1622,0,0,92.51,0.44,0,8,1,0,0,0
chembl240624,2,2.16,5,2.07,2.72,0,7.94,503.57,12,12,1,2,37,0,0,1,0,503.57,503.2393,2,2,125,0.3,0,9,0,0,0,0
sildenafil,2,1.61,3,1.16,1.23,7.63,5.98,474.59,8,10,1,1,33,0,0,1,0,474.59,474.2049,0,0,113.42,0.55,0,7,1,1,0,0
ticagrelor,1,2.01,3,2.28,2.28,12.94,1.06,522.58,11,10,4,4,36,0,0,1,0,522.58,522.1861,1,2,138.44,0.23,0,10,1,0,0,0
tenofovir disoproxil fumarate,1,3.04,2,2.65,2.65,0,3.74,635.52,15,15,1,2,35,0,0,1,0,519.45,519.173,2,2,185.44,0.23,0,13,1,0,0,1
atorvastatin calcium- film coated,1,6.31,4,2.43,5.39,4.31,0,558.65,5,7,4,4,41,1,0,0,0,558.65,558.253,2,2,111.79,0.16,0,12,1,0,0,0
chembl1488,2,0.35,1,0.39,0.41,8.76,0,252.1,3,5,2,2,15,0,0,1,0,252.1,251.0228,0,0,68.96,0.74,0,5,1,0,0,0
azacitidine,1,-3.17,1,-3.07,-3.07,12.55,0,244.21,9,9,4,5,17,0,0,1,0,244.21,244.0808,0,0,143.72,0.43,0,2,0,1,0,1
chembl251940,2,4.01,2,2.09,3.11,0,8.37,365.5,5,4,1,1,26,0,0,1,0,365.5,365.1562,0,0,50.5,0.89,0,4,0,0,0,0
chembl1490,0,4.33,1,2.32,4.23,13.84,9.32,301.47,2,2,1,1,22,0,1,0,0,301.47,301.2406,0,0,23.47,0.87,0,5,1,0,0,0
chembl253371,2,4.57,2,2.55,5.46,0,10.44,281.44,1,1,0,0,21,0,1,0,0,281.44,281.2143,0,0,3.24,0.65,0,9,0,0,0,0
amlodipine,0,2.27,1,-0.37,1.64,0,9.45,408.88,7,7,2,3,28,0,1,0,0,408.88,408.1452,0,0,99.88,0.5,0,8,1,0,0,0
chembl253376,2,4.56,1,2.59,4.42,0,9.23,376.14,2,2,1,2,18,0,1,0,0,376.14,373.9993,0,0,29.26,0.78,0,3,0,0,0,0
chembl1492,2,3.89,2,2.18,3.66,0,8.87,281.4,2,2,0,0,21,0,1,0,0,281.4,281.178,0,0,12.47,0.84,0,4,1,0,0,0
chembl1493,2,4.41,3,3.98,4.24,0,7.29,391.47,5,5,0,0,29,0,0,1,0,391.47,391.1784,0,0,59.75,0.6,0,5,1,0,0,0
chembl250270,0,6.48,3,4.45,6.41,0,9.36,611.74,8,9,1,1,45,0,1,0,0,611.74,611.2995,2,2,111.01,0.14,0,12,0,0,0,0
chembl1495,0,2.73,1,0.86,2.62,11.54,9.27,344.46,5,5,1,1,25,0,1,0,0,344.46,344.21,0,0,62.13,0.83,0,5,1,0,0,0
chembl398338,1,4.67,3,4.24,4.24,11.88,1.6,348.45,2,5,3,3,26,0,0,1,0,348.45,348.195,0,0,69.81,0.63,0,2,0,0,0,0
chembl252556,2,3.46,0,3.57,3.57,0,0,338.44,5,5,1,1,24,0,0,1,0,338.44,338.2093,0,0,72.83,0.44,0,12,0,0,0,0
rosuvastatin calcium,1,2.4,2,-1.24,1.92,4,0,481.55,7,9,3,3,33,1,0,0,0,481.55,481.1683,0,0,140.92,0.47,0,10,1,0,0,0
betamethasone valerate,1,3.64,0,3.71,3.71,13.41,0,476.59,6,6,2,2,34,0,0,1,0,476.59,476.2574,0,0,100.9,0.57,0,6,0,0,1,1
chembl404422,2,0.94,0,1.35,1.61,7.48,0,212.25,3,5,2,2,15,0,0,1,0,212.25,212.1161,0,0,75.27,0.68,0,4,0,0,0,0
hydrocortisone- pramoxine hcl- chloroxylenol,2,2.66,1,3.29,3.3,9.21,0,156.61,1,1,1,1,10,0,0,1,0,156.61,156.0342,0,0,20.23,0.61,1,0,0,0,0,0
chembl254219,1,3.25,0,3.18,3.6,7.18,0.24,764.95,13,13,5,5,54,0,0,1,0,764.95,764.4347,2,2,182.83,0.19,0,7,0,1,0,0
fluocinonide,1,2.94,0,2.05,2.05,13.58,0,494.53,7,7,1,1,35,0,0,1,0,494.53,494.2116,0,0,99.13,0.6,0,3,0,0,1,0
chembl398707,1,1.63,1,0.58,1.62,10.11,8.59,285.34,4,4,1,1,21,0,1,0,0,285.34,285.1365,0,0,49.77,0.79,0,0,1,1,0,0
nifedipine,2,2.18,1,1.82,1.82,0,0,346.34,7,8,1,1,25,0,0,1,0,346.34,346.1165,0,0,107.77,0.51,0,4,1,0,0,0
pantoprazole,0,2.88,3,2.17,2.18,9.54,3.55,383.38,6,7,1,1,26,0,0,1,0,383.38,383.0751,0,0,86.33,0.68,0,7,1,1,0,0
omeprazole,0,2.9,3,2.43,2.43,9.68,4.77,345.42,5,6,1,1,24,0,0,1,0,345.42,345.1147,0,0,77.1,0.77,0,5,1,0,0,1
iron sucrose,1,-5.4,0,-4.53,-4.53,11.84,0,342.3,11,11,8,8,23,0,0,1,0,342.3,342.1162,2,2,189.53,0.24,0,5,0,0,0,0
triamcinolone acetonide,1,2.42,0,1.94,1.94,13.4,0,434.5,6,6,2,2,31,0,0,1,0,434.5,434.2105,0,0,93.06,0.69,0,2,0,1,1,0
chembl252518,1,2.19,0,2.84,2.84,12.11,0,284.35,5,5,1,1,20,0,0,1,0,284.35,284.1624,0,0,57.15,0.69,0,0,1,0,0,0
almotriptan,2,2.2,2,-0.61,1.52,0,9.55,335.47,3,5,1,1,23,0,1,0,0,335.47,335.1667,0,0,56.41,0.88,0,6,1,0,0,0
chembl1506,1,6.94,1,7.79,7.8,9.07,0,561.55,6,8,2,2,37,0,0,1,0,561.55,560.242,2,2,118.77,0.06,0,21,1,0,0,1
escitalopram,1,3.81,2,1.41,3.76,0,9.78,324.4,3,3,0,0,24,0,1,0,0,324.4,324.1638,0,0,36.26,0.84,0,5,1,0,0,0
drospirenone,1,4.31,0,3.37,3.37,0,0,366.5,3,3,0,0,27,0,0,1,0,366.5,366.2195,0,0,43.37,0.6,0,0,1,0,0,0
eletriptan hydrobromide,1,3.82,3,2.76,3.77,0,8.37,382.53,3,4,1,1,27,0,0,1,0,382.53,382.1715,0,0,53.17,0.71,0,6,1,0,0,0
estradiol valerate,1,5.35,1,5.78,5.78,10.33,0,356.51,3,3,1,1,26,0,0,1,0,356.51,356.2351,1,1,46.53,0.74,0,4,1,1,0,1
flunisolide,1,2.27,0,1.56,1.56,13.73,0,434.5,6,6,2,2,31,0,0,1,0,434.5,434.2105,0,0,93.06,0.69,0,2,0,0,1,0
chembl251634,1,2.64,0,1.97,1.97,13.84,0,376.47,4,4,2,2,27,0,0,1,0,376.47,376.205,0,0,74.6,0.78,0,2,0,0,0,0
irbesartan,2,4.78,3,4.23,5.39,5.85,4.12,428.54,5,7,1,1,32,1,0,0,0,428.54,428.2325,0,0,87.13,0.59,0,7,1,0,0,0
chembl1514,1,4.65,2,2.45,4.88,0,9.87,353.51,3,3,0,0,26,0,1,0,0,353.51,353.2355,0,0,29.54,0.65,0,8,1,0,0,1
chembl249837,1,-0.44,1,-3.81,-3.51,2.88,7.41,442.42,9,10,6,7,32,1,0,0,0,442.42,442.1376,1,1,181.62,0.33,0,2,1,0,0,0
methimazole,2,1.08,1,0.75,0.75,10.41,0,114.17,2,2,1,1,7,0,0,1,0,114.17,114.0252,0,0,20.72,0.5,1,0,1,0,0,0
oxytetracycline hydrochloride,1,-1.24,1,-4.82,-4.5,2.84,7.38,460.44,10,11,7,8,33,1,0,0,0,460.44,460.1482,2,1,201.85,0.26,0,2,1,1,1,0
propylthiouracil,2,1.38,1,1.12,1.2,8.09,0,170.24,2,3,2,2,11,0,0,1,0,170.24,170.0514,0,0,48.65,0.66,1,2,1,0,0,0
chembl600325,1,3.01,1,2.3,2.3,12.22,0.3,530.66,8,8,4,4,38,0,0,1,0,530.66,530.288,1,1,129.59,0.44,0,3,0,0,0,0
trandolapril,1,2.77,1,0.29,1.95,3.8,5.21,430.55,5,7,2,2,31,1,0,0,0,430.55,430.2468,0,0,95.94,0.59,0,9,1,0,0,1
vardenafil,2,2.07,3,1.4,1.43,11.75,6.21,488.61,8,10,1,1,34,0,0,1,0,488.61,488.2206,0,0,112.9,0.52,0,8,1,0,0,0
chembl1521,2,2.64,3,1.53,1.53,0,0.28,305.34,5,6,0,0,23,0,0,1,0,305.34,305.1277,0,0,74.29,0.75,0,3,1,0,0,0
eszopiclone,1,1.57,2,0.59,0.52,8.04,6.86,388.82,7,9,0,0,27,0,0,1,0,388.82,388.1051,0,0,91.76,0.77,0,2,1,0,0,0
chembl248702,1,3.25,1,0.79,3.47,0,10.22,231.26,1,1,1,1,16,0,1,0,0,231.26,231.1235,0,0,12.03,0.84,0,4,0,0,0,0
chembl249856,2,1.96,2,1.84,1.84,9.68,0,248.31,3,4,2,2,17,0,0,1,0,248.31,248.0619,0,0,65.72,0.64,0,3,0,0,0,0
permethrin cream 5% w/w,0,6.11,2,5.7,5.7,0,0,391.29,3,3,0,0,26,0,0,1,0,391.29,390.0789,1,1,35.53,0.56,0,6,0,0,1,0
abiraterone,1,5.4,1,3.96,3.97,0,4.81,349.52,2,2,1,1,26,0,0,1,0,349.52,349.2406,1,1,33.12,0.69,0,1,0,0,0,0
raltegravir,2,0.91,3,-0.92,-0.39,7.02,0,444.42,9,11,3,3,32,0,0,1,0,444.42,444.1557,1,0,152.24,0.51,0,6,1,0,0,0
chembl253969,2,3.86,2,1.93,2.5,7.83,9.83,532.41,6,8,3,4,32,0,1,0,0,532.41,531.0751,1,1,109.58,0.4,0,10,0,0,0,0
chembl404108,2,4.16,2,1.22,4.31,4.11,0,293.73,2,3,2,2,20,1,0,0,0,293.73,293.0619,0,0,49.33,0.89,0,4,0,0,0,0
lidocaine- menthol,0,2.44,0,2.66,2.66,0,0,156.27,1,1,1,1,11,0,0,1,0,156.27,156.1514,0,0,20.23,0.62,1,1,0,0,1,0
chembl1529,2,4.19,2,2.39,4.22,13.4,9.23,345.91,2,2,1,1,23,0,1,0,0,309.45,309.2093,0,0,23.47,0.86,0,6,1,0,0,0
chembl256997,2,3.24,3,0.68,3.92,3.9,0,284.25,4,5,1,1,21,1,0,0,0,284.25,284.0597,0,0,76.22,0.8,0,3,0,0,0,0
nilotinib,2,6.36,5,5.35,5.36,12.38,5.92,529.53,7,8,2,2,39,0,0,1,0,529.53,529.1838,2,2,97.62,0.27,0,6,1,0,0,0
bleomycin,1,0,0,0,0,0,0,1415.58,0,0,0,0,0,0,0,0,0,1415.58,1414.5184,0,0,0,0,0,0,0,1,0,0
chembl257978,2,1.4,1,-1.27,-0.06,9.65,9.03,317.8,5,6,2,2,20,0,1,0,0,317.8,317.0601,0,0,79.79,0.86,0,5,0,0,0,0
chembl429317,2,5.38,3,4.1,4.1,13.34,0.57,388.25,4,5,2,2,26,0,0,1,0,388.25,387.0541,1,1,67.16,0.58,0,5,0,0,0,0
milnacipran hydrochloride,0,1.77,1,-0.91,1.42,0,9.83,246.35,2,3,1,2,18,0,1,0,0,246.35,246.1732,0,0,46.33,0.86,0,5,1,0,0,0
chembl259084,2,5.87,4,3.46,6.07,4.59,2.73,476.87,5,6,2,2,34,1,0,0,0,476.87,476.0852,1,1,87.47,0.38,0,4,0,0,0,0
etonogestrel,1,4.05,0,3.6,3.6,0,0,324.46,2,2,1,1,24,0,0,1,0,324.46,324.2089,0,0,37.3,0.58,0,1,0,1,1,0
chembl1532,0,0.88,1,1.18,1.19,9.56,0,289.74,4,6,3,4,18,0,0,1,0,289.74,289.0288,0,0,101.29,0.75,0,2,1,0,0,0
angiotensin ii,1,0,0,0,0,0,0,1046.2,0,0,0,0,0,0,0,0,0,1046.2,1045.5345,0,0,0,0,0,0,0,1,0,0
chembl1533,1,4.87,0,4.42,4.42,0,0,310.48,1,1,1,1,23,0,0,1,0,310.48,310.2297,0,0,20.23,0.54,0,1,1,0,0,1
chembl258918,1,4.21,0,3.7,3.7,0,0,304.47,2,2,1,1,22,0,0,1,0,304.47,304.2402,0,0,37.3,0.73,0,0,0,0,0,0
chembl1535,0,3.78,2,0.33,2.89,0,9.76,335.88,4,4,2,2,23,0,1,0,0,335.88,335.1764,0,0,48.39,0.73,0,9,1,0,0,0
chembl260933,2,3.25,4,2.93,3.52,6.64,1.31,446.43,7,8,1,1,32,0,0,1,0,446.43,446.1678,0,0,90.5,0.49,0,6,0,0,0,0
chembl1536,1,7.64,0,7.05,7.05,0,0,396.66,1,1,1,1,29,0,0,1,0,396.66,396.3392,1,1,20.23,0.47,0,5,1,1,0,0
chembl261772,-1,0,0,0,0,0,0,695.06,0,0,0,0,0,0,0,0,0,695.06,694.0872,0,0,0,0,0,0,0,0,1,0
chembl412262,1,4.76,3,5.16,5.16,13.56,1.6,487.41,3,6,1,1,32,0,0,1,0,487.41,486.0684,0,0,74.13,0.43,0,4,0,0,0,0
chembl406381,2,4.62,3,3.82,3.82,12.39,2.91,416.87,6,8,2,2,29,0,0,1,0,416.87,416.1251,0,0,94.6,0.58,0,7,0,0,0,0
chembl258805,2,1.91,2,0.86,0.91,11.59,6.64,241.25,3,5,2,2,18,0,0,1,0,241.25,241.0851,0,0,67.01,0.79,0,2,0,0,0,0
chembl258940,2,3.46,3,1.76,2.85,13.6,8.45,387.85,7,7,2,2,27,0,0,1,0,387.85,387.1374,0,0,78.86,0.71,0,4,0,0,0,0
chembl1537,1,0.09,1,-3.7,-0.33,3.49,0,461.5,6,11,4,4,32,1,0,0,0,461.5,461.1369,1,0,148.15,0.45,0,5,0,1,0,0
chembl1538,1,3.04,2,2.65,2.65,0,3.74,519.45,15,15,1,2,35,0,0,1,0,519.45,519.173,2,2,185.44,0.23,0,13,1,0,0,1
chembl1539,2,0.88,2,-0.22,0.58,6.12,3.44,310.34,7,8,2,3,21,1,0,0,0,310.34,310.0736,0,0,116.43,0.79,0,5,1,0,0,0
penciclovir,2,-0.9,2,-1.08,-1.08,11.59,0.94,253.26,8,8,4,5,18,0,0,1,0,253.26,253.1175,0,0,130.31,0.54,0,5,0,0,1,1
cefixime,1,-0.54,1,-7.13,-1.28,2.62,3.95,453.46,10,12,4,5,30,1,0,0,0,453.46,453.0413,1,0,184.51,0.23,0,8,1,0,0,0
azathioprine,2,1.15,3,1.15,1.17,8.62,2.16,277.27,8,9,1,1,19,0,0,1,0,277.27,277.0382,0,0,115.42,0.43,0,3,1,1,0,1
ulipristal acetate,1,5.54,1,4.62,4.62,0,4.89,475.63,5,5,0,0,35,0,0,1,0,475.63,475.2723,1,1,63.68,0.53,0,4,1,0,0,0
chembl267431,1,5.43,1,3.97,4.28,7.39,2.56,449.59,5,5,1,1,33,0,0,1,0,449.59,449.2566,1,1,68.12,0.37,0,5,0,0,0,0
chembl405130,2,3.1,3,2.84,2.84,10.35,4.75,297.31,6,6,2,2,22,0,0,1,0,297.31,297.1113,0,0,76.5,0.72,0,4,0,0,0,0
chembl1544,1,3.95,2,2.76,2.8,0.3,9.48,650.98,4,5,3,4,23,0,0,0,1,650.98,650.7901,1,1,92.78,0.43,0,5,1,1,0,0
chembl262075,2,3.67,4,2.69,2.69,0,0.44,376.44,6,6,0,0,27,0,0,1,0,376.44,376.0994,0,0,67.57,0.51,0,4,0,0,0,0
chembl261244,1,1.8,3,-1.66,0.65,1.18,2.23,576.41,10,14,4,4,37,1,0,0,0,532.45,532.1471,2,1,179.18,0.31,0,8,0,0,0,0
chembl409153,1,4.24,4,4.14,4.14,12.59,2.32,437.48,7,6,1,1,31,0,0,1,0,437.48,437.1122,0,0,87.62,0.49,0,6,0,0,0,0
belinostat,2,2.01,2,1.69,1.81,7.82,0,318.35,4,6,3,3,22,0,0,1,0,318.35,318.0674,0,0,95.5,0.45,0,5,0,1,0,0
alvimopan,1,3.05,2,0.82,0.82,3.71,10.66,424.54,4,6,3,3,31,0,0,0,1,424.54,424.2362,0,0,89.87,0.61,0,8,1,0,0,0
chembl1546,0,1.28,1,-0.97,1,10.48,9.8,151.21,2,2,2,3,11,0,1,0,0,151.21,151.0997,0,0,46.25,0.67,1,2,0,0,1,0
chembl572878,2,3.5,3,4.37,4.62,12.79,7.28,464.6,8,9,3,3,33,0,0,1,0,464.6,464.2107,0,0,102.07,0.46,0,7,0,0,0,0
chembl402548,1,2.64,3,1.67,2.06,9.63,7.73,474.57,6,9,2,2,35,0,0,1,0,474.57,474.2379,0,0,93.8,0.57,0,6,0,0,0,0
chembl271220,1,5.09,3,4.51,4.51,0,1.56,535.56,5,6,0,0,37,0,0,1,0,535.56,535.1553,2,2,64.43,0.41,0,6,0,0,0,0
abiraterone acetate,1,5.97,1,4.41,4.41,0,4.81,391.56,3,3,0,0,29,0,0,1,0,391.56,391.2511,1,1,39.19,0.46,0,2,1,0,0,1
chembl429736,1,2.04,2,1.84,1.84,10.88,0.44,494.59,6,9,1,1,36,0,0,1,0,494.59,494.2529,0,0,104.98,0.66,0,6,0,0,0,0
chembl404520,1,0.44,1,-3.33,-2.89,2.64,8.55,478.89,9,10,6,7,33,0,0,0,1,478.89,478.1143,1,1,181.62,0.33,0,2,0,0,1,0
chembl1549,1,4.3,0,4.02,4.02,12.61,0,486.65,6,6,2,2,35,0,0,1,0,486.65,486.2981,0,0,100.9,0.54,0,6,1,0,0,1
chembl270995,1,3.42,4,3.23,3.5,0,7.34,441.46,8,9,2,3,32,0,0,1,0,441.46,441.1812,0,0,116.76,0.42,0,7,0,0,0,1
chembl411907,1,3.13,0,2.48,2.51,8.49,0,525.6,9,9,1,1,38,0,0,1,0,525.6,525.2363,1,1,119.44,0.29,0,8,0,0,0,0
dapagliflozin,1,1.84,2,2.11,2.11,12.57,0,408.88,6,6,4,4,28,0,0,1,0,408.88,408.134,0,0,99.38,0.58,0,6,1,0,0,0
folic acid,1,4.48,0,1.15,3.71,4.79,0,392.58,3,4,3,3,28,1,0,0,0,392.58,392.2927,0,0,77.76,0.66,0,4,0,0,0,0
ursodiol,1,4.48,0,0.98,3.71,4.6,0,392.58,3,4,3,3,28,1,0,0,0,392.58,392.2927,0,0,77.76,0.66,0,4,1,0,0,0
deoxycholic acid,1,4.48,0,1.11,3.79,4.65,0,392.58,3,4,3,3,28,1,0,0,0,392.58,392.2927,0,0,77.76,0.66,0,4,0,1,0,0
chembl403989,2,7.09,5,6.01,7.64,13.33,9.03,580.09,8,8,1,1,42,0,1,0,0,580.09,579.2037,2,2,89.47,0.15,0,9,0,0,0,1
chembl405821,2,3.78,3,4.46,4.46,0,0,323.34,1,2,1,2,24,0,0,1,0,323.34,323.1122,0,0,43.09,0.73,0,4,0,0,0,0
dactinomycin,1,0,0,0,0,0,0,1255.44,0,0,0,0,0,0,0,0,0,1255.44,1254.6285,0,0,0,0,0,0,0,1,0,0
galantamine hydrobromide,1,1.85,1,-0.04,1.16,0,8.58,368.27,4,4,1,1,21,0,1,0,0,287.36,287.1521,0,0,41.93,0.8,0,1,1,0,0,0
dopamine hydrochloride,2,0.6,1,-1.45,0.03,10.01,9.27,189.64,3,3,3,4,11,0,1,0,0,153.18,153.079,0,0,66.48,0.54,0,2,0,1,0,0
chembl1558,2,1.78,3,1.43,1.65,0,7.24,419.87,8,9,1,2,28,0,0,1,0,383.41,383.1594,0,0,106.95,0.73,0,4,1,0,0,0
chembl1559,0,6.45,3,5.92,5.96,0,6.48,479.15,3,3,0,0,25,0,0,1,0,416.14,413.986,1,1,27.05,0.46,0,6,0,0,1,0
chembl450895,1,0.94,0,-1.94,-1.94,3.72,9.11,926.11,17,18,12,13,65,0,0,0,1,926.11,925.5035,3,3,319.61,0.18,0,3,1,0,1,0
chembl1560,1,0.63,0,-2.42,0.73,4.02,0,217.29,3,4,2,1,14,1,0,0,0,217.29,217.0773,0,0,57.61,0.68,1,3,1,0,0,0
chembl504760,1,2.4,0,2.55,2.55,0,0,152.24,1,1,0,0,11,0,0,1,0,152.24,152.1201,0,0,17.07,0.52,1,0,0,0,0,0
atropine sulfate,0,1.93,1,-0.41,1.57,0,9.39,289.37,4,4,1,1,21,0,1,0,0,289.37,289.1678,0,0,49.77,0.86,0,4,1,1,1,0
chembl1561,1,-3.26,0,-3.6,-3.19,12.9,7.6,207.23,6,6,5,5,14,0,0,1,0,207.23,207.1107,0,0,104.39,0.33,0,3,1,0,0,0
chembl502109,2,6.57,1,3.08,3.08,0,0,354.02,0,1,0,0,23,0,0,1,0,318.57,318.3155,1,1,0,0.27,0,14,0,0,0,0
daunorubicin hydrochloride,1,1.03,2,0.91,1.34,8,9.09,563.99,11,11,5,6,38,0,1,0,0,527.53,527.1791,3,2,185.84,0.31,0,4,0,1,0,0
buprenorphine,1,4.41,1,1.61,3.55,10.42,9.63,467.65,5,5,2,2,34,0,1,0,0,467.65,467.3036,0,0,62.16,0.69,0,4,0,1,1,0
chembl1564,2,3.89,2,2.18,3.66,0,8.87,317.86,2,2,0,0,21,0,1,0,0,281.4,281.178,0,0,12.47,0.84,0,4,1,0,0,0
cocaine hydrochloride,1,1.87,1,0.82,2.28,0,8.85,339.82,5,5,0,0,22,0,1,0,0,303.36,303.1471,0,0,55.84,0.8,0,3,0,0,1,0
ivabradine,1,3.31,2,0.76,2.72,0,9.37,468.59,6,7,0,0,34,0,1,0,0,468.59,468.2624,0,0,60.47,0.53,0,10,1,0,0,0
chembl1566,1,-8.56,0,-7.77,-7.61,11.23,7.03,645.61,19,19,14,14,44,0,0,1,0,645.61,645.248,3,3,321.17,0.1,0,9,1,0,0,0
sunitinib malate,2,3.33,2,1.28,2.93,11.46,9.04,532.57,3,6,3,3,29,0,1,0,0,398.48,398.2118,0,0,77.23,0.63,0,7,1,0,0,0
chembl506110,1,-0.59,1,-0.63,-0.4,11.71,7.23,594.67,11,13,2,3,40,0,0,1,0,594.67,594.1454,2,2,182.48,0.23,0,7,0,0,0,0
chembl501849,1,5.25,3,3.61,4.56,3.77,1.6,749.96,10,12,2,2,52,1,0,0,0,749.96,749.2917,3,2,156.89,0.29,0,8,1,0,0,0
chembl455186,1,-2.34,0,-2.6,-2.6,12.99,0,278.3,8,8,2,2,16,0,0,1,0,278.3,278.013,0,0,127.2,0.5,0,7,0,0,0,0
chembl462018,1,-1.77,2,-4.94,-3.78,1.22,9.33,400.29,11,13,5,6,27,0,0,0,1,400.29,400.0896,2,1,188.78,0.37,0,4,0,0,0,0
chembl461332,1,3.88,0,3.42,3.42,13.75,0,487.4,5,5,1,1,32,0,0,1,0,487.4,486.1376,0,0,72.83,0.6,0,2,0,0,0,0
amantadine hydrochloride,2,1.91,0,-1.38,1.47,0,10.71,187.71,1,1,1,2,11,0,1,0,0,151.25,151.1361,0,0,26.02,0.56,1,0,1,0,0,0
chembl517199,2,2.56,2,1.81,3,6.17,0,354.82,4,6,3,4,23,1,0,0,0,354.82,354.0441,0,0,109.49,0.79,0,3,0,0,0,0
chembl529888,1,2.17,1,1.54,2.48,4.32,0,366.48,4,6,3,3,25,1,0,0,0,366.48,366.1613,0,0,95.5,0.76,0,3,0,0,0,0
chembl488436,2,3.38,3,1.95,1.96,11.68,6,371.47,7,7,1,1,26,0,0,1,0,371.47,371.1416,0,0,89.77,0.74,0,5,0,0,0,0
chembl1570,0,1.7,2,-3.26,1.27,1.7,0,404.49,6,8,4,4,25,1,0,0,0,404.49,404.017,0,0,132.8,0.49,0,8,1,0,0,0
chembl452231,1,2.75,3,2.78,2.78,9.33,0,656.66,14,13,3,3,46,0,0,1,0,656.66,656.1564,2,2,160.83,0.33,0,6,0,1,0,0
chembl1571,1,3.59,0,3.23,3.23,0,0,300.4,3,3,0,0,22,0,0,1,0,300.4,300.1725,0,0,43.37,0.64,0,0,1,1,0,0
chembl507361,1,2.47,2,3.98,3.98,11.97,0,482.2,5,6,4,4,26,0,0,1,0,482.2,481.995,0,0,90.82,0.36,0,7,0,0,0,0
chembl460287,0,-0.15,0,-0.33,-0.33,0,0,262.3,6,6,0,0,18,0,0,1,0,262.3,262.1416,0,0,61.98,0.34,0,13,0,0,0,0
chembl501613,0,0.78,0,0.93,0.93,0,0,98.14,1,1,1,1,7,0,0,1,0,98.14,98.0732,0,0,20.23,0.48,1,1,0,0,0,0
chembl516476,0,2.08,1,-2.59,-2.59,0,0,366.41,3,4,1,1,22,0,0,1,0,304.41,304.1907,0,0,46.53,0.68,0,4,0,0,0,0
chembl1572,1,-3.2,0,-10.64,-3.53,12.55,9.8,475.59,12,12,8,11,33,0,1,0,0,475.59,475.3006,2,2,199.73,0.18,0,8,0,1,0,0
phentermine resin,2,1.97,1,-0.55,2.08,0,10.25,149.24,1,1,1,2,11,0,1,0,0,149.24,149.1204,0,0,26.02,0.68,1,2,1,0,0,0
chembl1576,2,1.42,0,1.54,1.54,0,0,167.21,2,3,1,2,12,0,0,1,0,167.21,167.0946,0,0,52.32,0.6,1,1,1,0,0,0
chembl460291,2,4.4,1,4.19,4.19,0,0,455.55,7,7,1,1,33,0,0,1,0,455.55,455.2308,0,0,90.93,0.37,0,7,0,0,0,0
chembl1577,0,0.6,1,0.52,0.53,9.29,0,360.24,5,7,2,3,20,0,0,1,0,360.24,358.9568,0,0,109.57,0.75,0,2,1,0,0,0
chembl447629,1,-0.78,0,-0.65,-0.65,12.63,0,307.97,4,4,4,4,12,0,0,1,0,307.97,305.9102,0,0,80.92,0.5,0,5,0,0,0,0
chembl475534,0,2.57,1,2.17,2.17,0,0,360.37,7,8,1,1,26,0,0,1,0,360.37,360.1321,0,0,107.77,0.49,0,5,0,0,0,0
chembl1578,1,3.52,0,-0.67,-0.67,0,0,362.35,2,3,0,0,20,0,0,0,0,282.45,282.2428,0,0,26.3,0.55,0,6,1,0,0,0
